,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,APA,2018 q1,1010,0.6869287894355911,Mr. Doug G. Leggate,0.5351706283656935,male,BofA Global Research
1,COG,2018 q1,1010,0.7383667209102682,Mr. Doug G. Leggate,0.626563128933907,male,BofA Global Research
2,COP,2018 q1,1010,0.659171297157938,Mr. Doug G. Leggate,0.38686833400902443,male,BofA Global Research
3,CVX,2018 q1,1010,0.666122094050013,Mr. Doug G. Leggate,0.24774870344738792,male,BofA Global Research
4,CXO,2018 q1,1010,0.763996839093247,Mr. Doug G. Leggate,0.621480738140179,male,BofA Global Research
5,EOG,2018 q1,1010,0.6635371968254626,Mr. Doug G. Leggate,0.4935534060147812,male,BofA Global Research
6,HES,2018 q1,1010,0.7067446920561067,Mr. Doug G. Leggate,0.5401839689787058,male,BofA Global Research
7,NBL,2018 q1,1010,0.775651494832339,Mr. Doug G. Leggate,0.8395225912268297,male,BofA Global Research
8,PSX,2018 q1,1010,0.7930429533682943,Mr. Doug G. Leggate,0.7324631253879708,male,BofA Global Research
9,VLO,2018 q1,1010,0.7922596780966945,Mr. Doug G. Leggate,0.818380698476545,male,BofA Global Research
10,XOM,2018 q1,1010,0.6762389410687486,Mr. Doug G. Leggate,0.6055198738394676,male,BofA Global Research
11,APA,2018 q1,1010,0.6869287894355911,William Featherston,0.6824078904050637,male,Credit Suisse
12,COG,2018 q1,1010,0.7383667209102682,William Featherston,0.7377160327597759,male,Credit Suisse
13,CVX,2018 q1,1010,0.666122094050013,William Featherston,0.4601355112342745,male,Credit Suisse
14,DVN,2018 q1,1010,0.7712127213845551,William Featherston,0.4568097369425597,male,Credit Suisse
15,HES,2018 q1,1010,0.7067446920561067,William Featherston,0.42787423822508835,male,Credit Suisse
16,NBL,2018 q1,1010,0.775651494832339,William Featherston,0.5588573575667654,male,Credit Suisse
17,PXD,2018 q1,1010,0.7911918374067246,William Featherston,0.7855215278693566,male,Credit Suisse
18,APA,2018 q1,1010,0.6869287894355911,"Mr. Michael J. McAllister, Jr",0.40507961301902107,male,MUFG Securities Americas Inc.
19,CXO,2018 q1,1010,0.763996839093247,"Mr. Michael J. McAllister, Jr",0.5102991515591987,male,MUFG Securities Americas Inc.
20,HES,2018 q1,1010,0.7067446920561067,"Mr. Michael J. McAllister, Jr",0.4097914739993557,male,MUFG Securities Americas Inc.
21,NBL,2018 q1,1010,0.775651494832339,"Mr. Michael J. McAllister, Jr",0.5622894193833976,male,MUFG Securities Americas Inc.
22,OXY,2018 q1,1010,0.7139269153128182,"Mr. Michael J. McAllister, Jr",0.4683398468143005,male,MUFG Securities Americas Inc.
23,PXD,2018 q1,1010,0.7911918374067246,"Mr. Michael J. McAllister, Jr",0.8735160067200207,male,MUFG Securities Americas Inc.
24,APA,2018 q1,1010,0.6869287894355911,"Mr. John P. Herrlin, Jr",0.5902434122420592,male,Societe Generale
